1120,ACRELANDIA,AC
1570,ASSIS BRASIL,AC
1058,BRASILEIA,AC
1007,BUJARI,AC
1015,CAPIXABA,AC
1074,CRUZEIRO DO SUL,AC
1112,EPITACIOLANDIA,AC
1139,FEIJO,AC
1104,JORDAO,AC
1090,MANCIO LIMA,AC
1554,MANOEL URBANO,AC
1040,MARECHAL THAUMATURGO,AC
1511,PLACIDO DE CASTRO,AC
1023,PORTO ACRE,AC
1066,PORTO WALTER,AC
1392,RIO BRANCO,AC
1082,RODRIGUES ALVES,AC
1031,SANTA ROSA DO PURUS,AC
1457,SENA MADUREIRA,AC
1538,SENADOR GUIOMARD,AC
1473,TARAUACA,AC
1490,XAPURI,AC
27014,AGUA BRANCA,AL
27030,ANADIA,AL
27057,ARAPIRACA,AL
27073,ATALAIA,AL
27090,BARRA DE SANTO ANTONIO,AL
27111,BARRA DE SAO MIGUEL,AL
27138,BATALHA,AL
27154,BELEM,AL
27170,BELO MONTE,AL
27197,BOCA DA MATA,AL
27219,BRANQUINHA,AL
27235,CACIMBINHAS,AL
27251,CAJUEIRO,AL
27081,CAMPESTRE,AL
27278,CAMPO ALEGRE,AL
27294,CAMPO GRANDE,AL
27316,CANAPI,AL
27332,CAPELA,AL
27359,CARNEIROS,AL
27375,CHA PRETA,AL
27391,COITE DO NOIA,AL
27413,COLONIA LEOPOLDINA,AL
27430,COQUEIRO SECO,AL
27456,CORURIPE,AL
28894,CRAIBAS,AL
27472,DELMIRO GOUVEIA,AL
27499,DOIS RIACHOS,AL
27049,ESTRELA DE ALAGOAS,AL
27510,FEIRA GRANDE,AL
27537,FELIZ DESERTO,AL
27553,FLEXEIRAS,AL
27570,GIRAU DO PONCIANO,AL
27596,IBATEGUARA,AL
27618,IGACI,AL
27634,IGREJA NOVA,AL
27650,INHAPI,AL
27677,JACARE DOS HOMENS,AL
27693,JACUIPE,AL
27715,JAPARATINGA,AL
27731,JARAMATAIA,AL
27065,JEQUIA DA PRAIA,AL
27758,JOAQUIM GOMES,AL
27774,JUNDIA,AL
27790,JUNQUEIRO,AL
27812,LAGOA DA CANOA,AL
27839,LIMOEIRO DE ANADIA,AL
27855,MACEIO,AL
27871,MAJOR ISIDORO,AL
27979,MAR VERMELHO,AL
27898,MARAGOGI,AL
27910,MARAVILHA,AL
27936,MARECHAL DEODORO,AL
27952,MARIBONDO,AL
27995,MATA GRANDE,AL
28010,MATRIZ DE CAMARAGIBE,AL
28037,MESSIAS,AL
28053,MINADOR DO NEGRAO,AL
28070,MONTEIROPOLIS,AL
28096,MURICI,AL
28118,NOVO LINO,AL
28134,OLHO D'AGUA DAS FLORES,AL
28150,OLHO D'AGUA DO CASADO,AL
28177,OLHO D'AGUA GRANDE,AL
28193,OLIVENCA,AL
28215,OURO BRANCO,AL
28231,PALESTINA,AL
28258,PALMEIRA DOS INDIOS,AL
28274,PAO DE ACUCAR,AL
27022,PARICONHA,AL
27006,PARIPUEIRA,AL
28290,PASSO DE CAMARAGIBE,AL
28312,PAULO JACINTO,AL
28339,PENEDO,AL
28355,PIACABUCU,AL
28371,PILAR,AL
28398,PINDOBA,AL
28410,PIRANHAS,AL
28436,POCO DAS TRINCHEIRAS,AL
28452,PORTO CALVO,AL
28479,PORTO DE PEDRAS,AL
28495,PORTO REAL DO COLEGIO,AL
28517,QUEBRANGULO,AL
28533,RIO LARGO,AL
28550,ROTEIRO,AL
28576,SANTA LUZIA DO NORTE,AL
28592,SANTANA DO IPANEMA,AL
28614,SANTANA DO MUNDAU,AL
28630,SAO BRAS,AL
28657,SAO JOSE DA LAJE,AL
28673,SAO JOSE DA TAPERA,AL
28690,SAO LUIS DO QUITUNDE,AL
28711,SAO MIGUEL DOS CAMPOS,AL
28738,SAO MIGUEL DOS MILAGRES,AL
28754,SAO SEBASTIAO,AL
28770,SATUBA,AL
28916,SENADOR RUI PALMEIRA,AL
28797,TANQUE D'ARCA,AL
28819,TAQUARANA,AL
28932,TEOTONIO VILELA,AL
28835,TRAIPU,AL
28851,UNIAO DOS PALMARES,AL
28878,VICOSA,AL
2895,ALVARAES,AM
2917,AMATURA,AM
2933,ANAMA,AM
2038,ANORI,AM
2003,APUI,AM
2054,ATALAIA DO NORTE,AM
2070,AUTAZES,AM
2097,BARCELOS,AM
2119,BARREIRINHA,AM
2135,BENJAMIN CONSTANT,AM
2950,BERURI,AM
2976,BOA VISTA DO RAMOS,AM
2151,BOCA DO ACRE,AM
2178,BORBA,AM
2992,CAAPIRANGA,AM
2194,CANUTAMA,AM
2216,CARAUARI,AM
2232,CAREIRO,AM
2046,CAREIRO DA VARZEA,AM
2259,COARI,AM
2275,CODAJAS,AM
2291,EIRUNEPE,AM
2313,ENVIRA,AM
2330,FONTE BOA,AM
2020,GUAJARA,AM
2356,HUMAITA,AM
2399,IPIXUNA,AM
98353,IRANDUBA,AM
2410,ITACOATIARA,AM
98370,ITAMARATI,AM
2437,ITAPIRANGA,AM
2453,JAPURA,AM
2470,JURUA,AM
2496,JUTAI,AM
2518,LABREA,AM
2534,MANACAPURU,AM
98396,MANAQUIRI,AM
2550,MANAUS,AM
2577,MANICORE,AM
2593,MARAA,AM
2615,MAUES,AM
2631,NHAMUNDA,AM
2658,NOVA OLINDA DO NORTE,AM
2011,NOVO AIRAO,AM
2674,NOVO ARIPUANA,AM
2690,PARINTINS,AM
2712,PAUINI,AM
98418,PRESIDENTE FIGUEIREDO,AM
98434,RIO PRETO DA EVA,AM
2372,SANTA ISABEL DO RIO NEGRO,AM
2739,SANTO ANTONIO DO ICA,AM
2836,SAO GABRIEL DA CACHOEIRA,AM
2755,SAO PAULO DE OLIVENCA,AM
98450,SAO SEBASTIAO DO UATUMA,AM
2771,SILVES,AM
98477,TABATINGA,AM
2798,TAPAUA,AM
2810,TEFE,AM
98515,TONANTINS,AM
98493,UARINI,AM
2852,URUCARA,AM
2879,URUCURITUBA,AM
6017,AMAPA,AP
6033,CALCOENE,AP
6068,CUTIAS,AP
6114,FERREIRA GOMES,AP
6041,ITAUBAL,AP
6130,LARANJAL DO JARI,AP
6050,MACAPA,AP
6076,MAZAGAO,AP
6092,OIAPOQUE,AP
6084,PEDRA BRANCA DO AMAPARI,AP
6025,PORTO GRANDE,AP
6009,PRACUUBA,AP
6157,SANTANA,AP
6106,SERRA DO NAVIO,AP
6173,TARTARUGALZINHO,AP
6122,VITORIA DO JARI,AP
33014,ABAIRA,BA
33030,ABARE,BA
33057,ACAJUTIBA,BA
33065,ADUSTINA,BA
33073,AGUA FRIA,BA
33111,AIQUARA,BA
33138,ALAGOINHAS,BA
33154,ALCOBACA,BA
33170,ALMADINA,BA
33197,AMARGOSA,BA
33219,AMELIA RODRIGUES,BA
30716,AMERICA DOURADA,BA
33235,ANAGE,BA
33251,ANDARAI,BA
33260,ANDORINHA,BA
33278,ANGICAL,BA
33294,ANGUERA,BA
33316,ANTAS,BA
33332,ANTONIO CARDOSO,BA
33359,ANTONIO GONCALVES,BA
33375,APORA,BA
33405,APUAREMA,BA
33383,ARACAS,BA
33391,ARACATU,BA
33413,ARACI,BA
33430,ARAMARI,BA
30732,ARATACA,BA
33456,ARATUIPE,BA
33472,AURELINO LEAL,BA
33499,BAIANOPOLIS,BA
33510,BAIXA GRANDE,BA
33529,BANZAE,BA
33537,BARRA,BA
33553,BARRA DA ESTIVA,BA
33570,BARRA DO CHOCA,BA
33596,BARRA DO MENDES,BA
33618,BARRA DO ROCHA,BA
33634,BARREIRAS,BA
30759,BARRO ALTO,BA
33650,BARRO PRETO,BA
30775,BARROCAS,BA
33677,BELMONTE,BA
33693,BELO CAMPO,BA
33715,BIRITINGA,BA
33731,BOA NOVA,BA
33758,BOA VISTA DO TUPIM,BA
33774,BOM JESUS DA LAPA,BA
33782,BOM JESUS DA SERRA,BA
33790,BONINAL,BA
33804,BONITO,BA
33812,BOQUIRA,BA
33839,BOTUPORA,BA
33855,BREJÕES,BA
33871,BREJOLANDIA,BA
33898,BROTAS DE MACAUBAS,BA
33910,BRUMADO,BA
33936,BUERAREMA,BA
30791,BURITIRAMA,BA
33952,CAATIBA,BA
33960,CABACEIRAS DO PARAGUACU,BA
33979,CACHOEIRA,BA
33995,CACULE,BA
34010,CAEM,BA
34029,CAETANOS,BA
34037,CAETITE,BA
34053,CAFARNAUM,BA
34070,CAIRU,BA
34096,CALDEIRAO GRANDE,BA
34118,CAMACA,BA
34134,CAMACARI,BA
34150,CAMAMU,BA
34177,CAMPO ALEGRE DE LOURDES,BA
34193,CAMPO FORMOSO,BA
34215,CANAPOLIS,BA
34231,CANARANA,BA
34258,CANAVIEIRAS,BA
34274,CANDEAL,BA
34290,CANDEIAS,BA
34312,CANDIBA,BA
34339,CANDIDO SALES,BA
34355,CANSANCAO,BA
30856,CANUDOS,BA
30813,CAPELA DO ALTO ALEGRE,BA
30830,CAPIM GROSSO,BA
34363,CARAIBAS,BA
34371,CARAVELAS,BA
34398,CARDEAL DA SILVA,BA
34410,CARINHANHA,BA
34436,CASA NOVA,BA
34452,CASTRO ALVES,BA
34479,CATOLANDIA,BA
34495,CATU,BA
34509,CATURAMA,BA
34517,CENTRAL,BA
34533,CHORROCHO,BA
34550,CICERO DANTAS,BA
34576,CIPO,BA
34592,COARACI,BA
34614,COCOS,BA
34630,CONCEICAO DA FEIRA,BA
34657,CONCEICAO DO ALMEIDA,BA
34673,CONCEICAO DO COITE,BA
34690,CONCEICAO DO JACUIPE,BA
34711,CONDE,BA
34738,CONDEUBA,BA
34754,CONTENDAS DO SINCORA,BA
34770,CORACAO DE MARIA,BA
34797,CORDEIROS,BA
34819,CORIBE,BA
34835,CORONEL JOAO SA,BA
34851,CORRENTINA,BA
34878,COTEGIPE,BA
34894,CRAVOLANDIA,BA
34916,CRISOPOLIS,BA
34932,CRISTOPOLIS,BA
34959,CRUZ DAS ALMAS,BA
34975,CURACA,BA
34991,DARIO MEIRA,BA
30872,DIAS D'AVILA,BA
35017,DOM BASILIO,BA
35033,DOM MACEDO COSTA,BA
35050,ELISIO MEDRADO,BA
35076,ENCRUZILHADA,BA
35092,ENTRE RIOS,BA
33090,ERICO CARDOSO,BA
35114,ESPLANADA,BA
35130,EUCLIDES DA CUNHA,BA
30058,EUNAPOLIS,BA
30899,FATIMA,BA
35149,FEIRA DA MATA,BA
35157,FEIRA DE SANTANA,BA
30910,FILADELFIA,BA
35173,FIRMINO ALVES,BA
35190,FLORESTA AZUL,BA
35211,FORMOSA DO RIO PRETO,BA
35238,GANDU,BA
30937,GAVIAO,BA
35254,GENTIO DO OURO,BA
35270,GLORIA,BA
35297,GONGOGI,BA
35319,GOVERNADOR MANGABEIRA,BA
30953,GUAJERU,BA
35335,GUANAMBI,BA
35351,GUARATINGA,BA
30970,HELIOPOLIS,BA
35378,IACU,BA
35394,IBIASSUCE,BA
35416,IBICARAI,BA
35432,IBICOARA,BA
35459,IBICUI,BA
35475,IBIPEBA,BA
35513,IBIPITANGA,BA
35530,IBIQUERA,BA
35556,IBIRAPITANGA,BA
35572,IBIRAPUA,BA
35599,IBIRATAIA,BA
35610,IBITIARA,BA
35637,IBITITA,BA
35653,IBOTIRAMA,BA
35670,ICHU,BA
35696,IGAPORA,BA
35700,IGRAPIUNA,BA
35718,IGUAI,BA
